Node,Degree,Betweenness,Closeness,Authority,Eigenvector,Openness
realKarliBonne,3630,0.0,0.1080453611929636,0.4532336293835314,0.5851091814895134,0.8
Qrashthematrix,2499,0.0,0.0743816412179659,0.0582611276436579,0.4028101558956389,0.4387154308345086
BannonWarRoom,2042,0.0,0.060779236241331,0.1052846025483924,0.3291490995769968,0.3839076402699393
epochtimes,1612,0.0,0.0479804744471232,0.0354319368553515,0.2598400093865904,0.2819895431675286
Jack_Posobiec,1594,0.0,0.0474447123255052,0.0644067573819764,0.2569386986344338,0.2917993378217342
nationalpulse,1408,0.0,0.0419085037354525,0.013864286856966,0.2269584875288476,0.23874401048090182
veryreasonable,870,0.0,0.0258951692115367,0.0199055383806944,0.1402415328254915,0.15245973081793568
followsthewhiterabbit,858,0.0,0.0255379944637914,0.0176468524979515,0.1383073256573869,0.14947901490728951
pjwnews,734,0.0,0.0218471887370896,0.0040555742004467,0.1183205182536345,0.1229800280932464
lifesitetelegram,684,0.0,0.020358960621484,0.0023999725356546,0.1102613217198647,0.11398271476652577
NTDNews,649,0.0,0.0193172009405601,0.0103633548664276,0.1046198841462251,0.11171002643178123
TraditionalBritainGroup,628,0.0,0.0186921451320058,0.0005849993689134,0.1012350216020419,0.10392306619795164
robinmg,600,0.0,0.0178587373872667,0.0017682228460145,0.0967218715431311,0.09981581690586712
QNewsOfficialTV,562,0.0,0.0167276840194064,0.0068886096191307,0.0905968821774667,0.09579258549897879
redpillpharmacist,550,0.0,0.0163705092716611,0.017072615897694,0.0886626750093622,0.09830250018352049
ByobluOfficial,484,0.0,0.0144060481590618,4.495128617565529e-07,0.0780245355847875,0.0798569081955449
RedPillDealer4833,462,0.0,0.0137512277881953,0.0088088776487195,0.0744784891099292,0.08010646863828645
infowarslive,429,0.0,0.0127689972318957,0.0035877469550606,0.0691594193976418,0.07234647340922258
realKariLake,421,0.0,0.0125308807333988,0.0061880447400387,0.0678699479522389,0.07217123754765978
dotconnectinganons,410,0.0,0.0122034705479655,0.0139472975604158,0.0660969247148097,0.07377650753631078
ArrestsIndictmentsJustice,371,0.0,0.0110426526177932,0.0100817736936108,0.0598107514184713,0.06562269688854279
stormypatriotjoe21,368,0.0,0.0109533589308569,0.0101963002560971,0.0593271996264454,0.06517723001922418
joeoltmann,363,0.0,0.0108045361192963,0.0070467317304831,0.0585212799730689,0.06296073480775818
theprofessorsrecord,362,0.0,0.0107747715569842,0.0104168952400212,0.0583600960423936,0.06428256392689542
CheLineTv,351,0.0,0.010447361371551,2.949445823485805e-18,0.056587072804965,0.05786718104161037
Not_On_The_Beeb,300,0.0,0.0089293686936333,0.0007299859463661,0.0483666923405214,0.04975722955951432
candlesinthenight,300,0.0,0.0089293686936333,0.0070696811827288,0.0483666923405214,0.05255476920589301
PatriotVoiceOfficial,296,0.0,0.0088103104443849,0.0064123113179666,0.0477219566178199,0.05160335007840271
Vigilant_News,296,0.0,0.0088103104443849,0.0048848630093513,0.0477219566178199,0.05092932758334079
WeTheMedia,281,0.0,0.0083638420097032,0.0081992378833879,0.0453041976576891,0.04991185141312916
WWG1WGAWORLDWIDE,278,0.0,0.0082745483227669,3.1031765939999164e-05,0.044820645865663,0.0458114339210158
CharlieKirk,253,0.0,0.0075304342649641,0.0060944903265872,0.0407910475987784,0.044353707562150624
PatriotArmy,240,0.0,0.0071434949549066,0.0017978917593551,0.0386956564999983,0.040308379940386586
CheckMateNews,233,0.0,0.0069351430187219,3.372892976095534e-06,0.0375673689852706,0.03835916265880263
thepeoplesaudit,200,0.0,0.0059529124624222,0.0041997645701672,0.0322482992729828,0.03475487069635584
NevsChannel,195,0.0,0.0058040896508616,0.0059966565173144,0.0314423796196059,0.034721117519936465
AussieCossack,194,0.0,0.0057743250885495,0.000250913354725,0.0312811956889305,0.032020338394170664
PearFEED,194,0.0,0.0057743250885495,0.0044643279560235,0.0312811956889305,0.03387960669561132
pravdaGerashchenko_en,188,0.0,0.0055957377146769,0.0001017163801402,0.0303140921048779,0.030962492901843674
quantin_vic,185,0.0,0.0055064440277405,4.76050904843323e-18,0.0298305403128515,0.03042160374758942
australiaforfreedom,184,0.0,0.0054766794654284,0.0001288982374702,0.0296693563821761,0.03031314832386226
ENDHUMANTRAFFICKING,179,0.0,0.0053278566538679,0.0018723635345261,0.0288634367287989,0.030255819381379896
morrakiu,179,0.0,0.0053278566538679,4.726486315550215e-05,0.0288634367287989,0.02945045166237236
EastApp,177,0.0,0.0052683275292436,4.786365041852013e-05,0.0285410688674481,0.029120046285384726
covid19vaccinevictims,177,0.0,0.0052683275292436,0.0005495578052522,0.0285410688674481,0.029341430632135894
EurasianChoice,165,0.0,0.0049111527814983,7.735779151114735e-05,0.0266068616993433,0.027149043633195424
informationliberation,165,0.0,0.0049111527814983,0.0002440360139064,0.0266068616993433,0.027222594319459358
westcoast_intel,158,0.0,0.0047028008453135,0.0014917074157349,0.0254785741846156,0.02661581505261184
TruthHammer,157,0.0,0.0046730362830014,0.0061109073266083,0.0253173902539402,0.028488810863873885
piratejohn1,155,0.0,0.0046135071583772,0.0005787808620952,0.0249950223925895,0.025716960327884696
DoctorQsBoomBox,150,0.0,0.0044646843468166,0.00190378527497,0.0241891027392125,0.02547497567715291
HOTWisconsin,150,0.0,0.0044646843468166,0.0011204324225083,0.0241891027392125,0.025129302804852073
linuxgram,142,0.0,0.0042265678483197,4.526990562561532e-05,0.0228996312938095,0.023332183630323255
didyouknow_ink,137,0.0,0.0040777450367592,0.0004196791332979,0.0220937116404326,0.022670726494067837
blognot,135,0.0,0.004018215912135,2.7069082364008464e-14,0.0217713437790818,0.022154863598799812
loomeredofficial,132,0.0,0.0039289222251986,0.0029445087131563,0.0212877919870557,0.02295819292074866
bestimeline,132,0.0,0.0039289222251986,7.268547745054686e-08,0.0212877919870557,0.021658891264036317
Fighting4_AZ,128,0.0,0.0038098639759502,0.0021172693814295,0.0206430562643541,0.02193181489526319
RA_Ludwig,126,0.0,0.003750334851326,4.843604390459598e-07,0.0203206884030034,0.020667064107440552
DismantlingTheCabal,124,0.0,0.0036908057267017,0.0002623535747512,0.0199983205416526,0.020451950452033463
QuebecReveille,122,0.0,0.0036312766020775,5.711596614726856e-05,0.0196759526803019,0.02003071492365286
GAelectionaudit,121,0.0,0.0036015120397654,0.0032101071226902,0.0195147687496265,0.02125671163366783
OffgridiIreland,119,0.0,0.0035419829151412,8.167634072376429e-06,0.0191924008882757,0.01951311091182621
AltSkull48,116,0.0,0.0034526892282048,0.0004215834077142,0.0187088490962496,0.01919953593744996
staatsversagen,115,0.0,0.0034229246658927,1.1806871829227124e-06,0.0185476651655742,0.01884868854525893
TheWashingtonPundit,109,0.0,0.0032443372920201,0.0032693175902781,0.0175805615815219,0.019298822009536865
ALoneRaccoon,109,0.0,0.0032443372920201,0.0019617577436207,0.0175805615815219,0.018721830470565727
utahfreedomcoalition,107,0.0,0.0031848081673958,0.0005665179141398,0.0172581937201711,0.017775478470798804
erinhealthnutnews,106,0.0,0.0031550436050837,0.0001827125883703,0.0170970097894958,0.017440780539896266
PepeMatter,105,0.0,0.0031252790427716,0.0024038359013158,0.0169358258588204,0.01825556864437819
UnityNewsNetwork,104,0.0,0.0030955144804595,0.000324479971868,0.016774641928145,0.017172669126587856
bleibtstark,102,0.0,0.0030359853558353,3.6721381008295914e-08,0.0164522740667942,0.016698831304751985
MichaelJLindell,100,0.0,0.0029764562312111,0.0009354502662023,0.0161299062054435,0.016780934928400625
usvoterfraud,97,0.0,0.0028871625442747,0.0001873604517717,0.0156463544134173,0.015954818292165645
MurderTheMedia,97,0.0,0.0028871625442747,0.0004734515085306,0.0156463544134173,0.01608106270044048
internationalreporters,95,0.0,0.0028276334196505,1.5405518616579586e-08,0.0153239865520666,0.01554147827779409
womanhate,84,0.0,0.0025002232342173,0.0002210544097005,0.0135509633146373,0.013820334104968132
whitelaborstrikeww,84,0.0,0.0025002232342173,0.0001813847170337,0.0135509633146373,0.013802828919961999
studentsagainsttyrannyofficial,76,0.0,0.0022621067357204,0.0005937464990263,0.0122614918692343,0.012662114832098332
WokeSocieties,76,0.0,0.0022621067357204,0.0014601819063913,0.0122614918692343,0.013044449836031508
naomiseibt,74,0.0,0.0022025776110962,1.089073816690815e-06,0.0119391240078835,0.01206992119668904
MadisonCawthorn,74,0.0,0.0022025776110962,0.0007133917216432,0.0119391240078835,0.01238424149494023
Owen_Shroyer,74,0.0,0.0022025776110962,0.0004878988520067,0.0119391240078835,0.012284737462133485
Damhistory,72,0.0,0.002143048486472,4.198002291939265e-10,0.0116167561465328,0.011738771196544786
ThePrisonersRecord,71,0.0,0.0021132839241598,0.0013263314980399,0.0114555722158574,0.012158711180015342
NewMexicoAuditForce,70,0.0,0.0020835193618477,0.0007673190771491,0.011294388285182,0.011746698997140953
madTparty,69,0.0,0.0020537547995356,0.0001927109435955,0.0111332043545066,0.011327804839209235
markacollett,69,0.0,0.0020537547995356,0.0001379690177259,0.0111332043545066,0.011303648676770866
WorldWarNowTele,68,0.0,0.0020239902372235,2.1082830826826783e-05,0.0109720204238312,0.011086735094409899
prowhitefam2,68,0.0,0.0020239902372235,0.0001561488081087,0.0109720204238312,0.011146336133929223
ourwarstoday,67,0.0,0.0019942256749114,1.566064802967407e-07,0.0108108364931558,0.010912166102710955
techcrimes,65,0.0,0.0019346965502872,8.892272243456761e-05,0.0104884686318051,0.010620666633394676
FuryRoad_Intel,64,0.0,0.0019049319879751,0.0006220936406872,0.0103272847011297,0.01069060603942995
