source,target,type
1541958490,westcoast_intel,Reply
826316281,westcoast_intel,Reply
826316281,westcoast_intel,Reply
826316281,westcoast_intel,Reply
826316281,westcoast_intel,Reply
1603660598,westcoast_intel,Reply
1603660598,eastcoast_intel,Reply
1603660598,eastcoast_intel,Reply
1603660598,eastcoast_intel,Reply
1603660598,eastcoast_intel,Reply
7035380732,NTDNews,Reply
7158069157,NTDNews,Reply
7158069157,NTDNews,Reply
7158069157,NTDNews,Reply
7158069157,lifesitetelegram,Reply
7158069157,lifesitetelegram,Reply
7158069157,lifesitetelegram,Reply
7158069157,NTDNews,Reply
7158069157,lifesitetelegram,Reply
7158069157,lifesitetelegram,Reply
7158069157,NTDNews,Reply
7158069157,lifesitetelegram,Reply
7158069157,lifesitetelegram,Reply
7158069157,lifesitetelegram,Reply
7158069157,lifesitetelegram,Reply
7158069157,lifesitetelegram,Reply
7158069157,lifesitetelegram,Reply
7054425094,NTDNews,Reply
7054425094,lifesitetelegram,Reply
7054425094,lifesitetelegram,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,realKariLake,Reply
1586549664,ArizonaAuditLiveFeeds,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,BannonWarRoom,Reply
1586549664,Fighting4_AZ,Reply
1586549664,realKariLake,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,BannonWarRoom,Reply
1586549664,Fighting4_AZ,Reply
1586549664,BannonWarRoom,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,realKariLake,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
1586549664,realKariLake,Reply
1586549664,Fighting4_AZ,Reply
1586549664,BannonWarRoom,Reply
1586549664,Fighting4_AZ,Reply
1586549664,Fighting4_AZ,Reply
7031195570,NTDNews,Reply
7031195570,lifesitetelegram,Reply
7031195570,lifesitetelegram,Reply
7031195570,lifesitetelegram,Reply
7031195570,lifesitetelegram,Reply
7031195570,lifesitetelegram,Reply
7031195570,lifesitetelegram,Reply
7031195570,lifesitetelegram,Reply
1474826662,QNewsOfficialTV,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,QNewsOfficialTV,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,QNewsOfficialTV,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,PatriotArmy,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,PatriotArmy,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,PatriotArmy,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,PatriotArmy,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,QNewsOfficialTV,Reply
1650972440,PatriotArmy,Reply
1650972440,DoctorQsBoomBox,Reply
1650972440,PatriotArmy,Reply
