,clustering_coefficient
1451628203,1.0
1570505463,1.0
5226741086,1.0
1564152804,1.0
1514216086,1.0
1581832229,1.0
7192419185,1.0
1673325962,1.0
820594408,1.0
6560906760,1.0
1372826451,1.0
6104003245,1.0
1587009436,1.0
1684076414,1.0
6298172559,1.0
1458426362,1.0
1509771870,1.0
1981150918,1.0
1529808235,1.0
1988778540,1.0
1525470028,1.0
1536532926,1.0
1111475256,1.0
1665748666,1.0
1529782843,1.0
1591833569,1.0
1588292034,1.0
5874559894,1.0
1520425325,1.0
5086402522,1.0
1417216537,1.0
1941998228,1.0
1415439233,1.0
5624734466,1.0
1534494912,1.0
1580618025,1.0
1894169654,1.0
2045487653,1.0
1993612902,1.0
6945567910,1.0
1790007464,1.0
1431897702,1.0
5648975483,1.0
1461120555,1.0
1056124607,1.0
6574936310,1.0
1531551565,1.0
1532010340,1.0
1504531352,1.0
1564394734,1.0
5937717569,1.0
1592438692,1.0
6910407242,1.0
7997004411,1.0
905846363,1.0
1563301596,1.0
1554545825,1.0
1634419884,1.0
1583499521,1.0
1551586974,1.0
6865818047,1.0
1515317152,1.0
2063035509,1.0
1530524899,1.0
1597259565,1.0
6879752402,1.0
7039790024,1.0
1527703549,1.0
1409443467,1.0
1755271178,1.0
1965387595,1.0
6150765308,1.0
7527914605,1.0
6127103935,1.0
1568653539,1.0
1977523835,1.0
1651284827,1.0
7529002968,1.0
1529068876,1.0
1842321525,1.0
1513423509,1.0
1957558094,1.0
1207970142,1.0
1664108348,1.0
1609080638,1.0
1560067473,1.0
1402739376,1.0
1514011386,1.0
1489176425,1.0
1505931868,1.0
1505987633,1.0
1230701379,1.0
5227585853,1.0
1561709004,1.0
6228686072,1.0
1344306030,1.0
1584275592,1.0
5291577733,1.0
1250180394,1.0
1501261499,1.0
1539374787,1.0
6902981332,1.0
1561065450,1.0
1551407108,1.0
1692947917,1.0
6056575616,1.0
1397718501,1.0
1906478205,1.0
1680699655,1.0
1517472793,1.0
1564677698,1.0
1553026861,1.0
1503138669,1.0
6190830195,1.0
1513132940,1.0
1440563446,1.0
1413966305,1.0
6655358211,1.0
1504217372,1.0
1553105738,1.0
2014521245,1.0
1699899515,1.0
1590531543,1.0
1531499954,1.0
1521141950,1.0
1721243298,1.0
2084897678,1.0
6244788067,1.0
1442121335,1.0
1522465543,1.0
1550054203,1.0
1529594403,1.0
6216575952,1.0
