Community,Dominio,Occorrenze,Score,Clustering
realKarliBonne,nypost.com,1709,69.5,0.1289365310077519
realKarliBonne,thepostmillennial.com,2816,82.0,0.1289365310077519
realKarliBonne,thegatewaypundit.com,1293,30.0,0.1289365310077519
realKarliBonne,thenationalpulse.com,508,12.5,0.1289365310077519
realKarliBonne,foxnews.com,419,69.5,0.1289365310077519
realKarliBonne,disclose.tv,52,77.5,0.1289365310077519
realKarliBonne,cis.org,24,92.5,0.1289365310077519
realKarliBonne,breitbart.com,282,49.5,0.1289365310077519
realKarliBonne,washingtonexaminer.com,82,92.5,0.1289365310077519
realKarliBonne,ajc.com,32,100.0,0.1289365310077519
realKarliBonne,dailymail.co.uk,4066,69.5,0.1289365310077519
realKarliBonne,rsbnetwork.com,383,10.0,0.1289365310077519
realKarliBonne,newsmax.com,16,20.0,0.1289365310077519
realKarliBonne,thehill.com,42,100.0,0.1289365310077519
realKarliBonne,justthenews.com,308,69.5,0.1289365310077519
realKarliBonne,humanevents.com,174,69.5,0.1289365310077519
realKarliBonne,abcnews.go.com,17,87.5,0.1289365310077519
realKarliBonne,axios.com,51,100.0,0.1289365310077519
realKarliBonne,newsweek.com,33,100.0,0.1289365310077519
realKarliBonne,wsj.com,47,100.0,0.1289365310077519
realKarliBonne,cnn.com,60,80.0,0.1289365310077519
realKarliBonne,nbcnews.com,52,100.0,0.1289365310077519
realKarliBonne,racket.news,13,92.5,0.1289365310077519
realKarliBonne,thefederalist.com,49,12.5,0.1289365310077519
realKarliBonne,aclj.org,1,57.0,0.1289365310077519
realKarliBonne,time.com,16,100.0,0.1289365310077519
realKarliBonne,politico.com,187,100.0,0.1289365310077519
realKarliBonne,revolver.news,201,7.5,0.1289365310077519
realKarliBonne,reuters.com,25,100.0,0.1289365310077519
realKarliBonne,ktvu.com,11,87.5,0.1289365310077519
realKarliBonne,ft.com,7,100.0,0.1289365310077519
realKarliBonne,city-journal.org,10,92.5,0.1289365310077519
realKarliBonne,news.sky.com,4,100.0,0.1289365310077519
realKarliBonne,warroom.org,69,10.0,0.1289365310077519
realKarliBonne,vanityfair.com,28,72.5,0.1289365310077519
realKarliBonne,zerohedge.com,18,15.0,0.1289365310077519
realKarliBonne,tennesseestar.com,5,47.5,0.1289365310077519
realKarliBonne,dailycaller.com,36,82.0,0.1289365310077519
realKarliBonne,realclearinvestigations.com,7,80.0,0.1289365310077519
realKarliBonne,modernity.news,9,7.5,0.1289365310077519
realKarliBonne,realclearpolitics.com,14,62.0,0.1289365310077519
realKarliBonne,telegraph.co.uk,55,75.0,0.1289365310077519
realKarliBonne,amgreatness.com,11,27.5,0.1289365310077519
realKarliBonne,latimes.com,8,100.0,0.1289365310077519
realKarliBonne,wctrib.com,5,100.0,0.1289365310077519
realKarliBonne,nationalreview.com,20,92.5,0.1289365310077519
realKarliBonne,washingtontimes.com,56,62.0,0.1289365310077519
realKarliBonne,theatlantic.com,21,100.0,0.1289365310077519
realKarliBonne,oann.com,11,25.0,0.1289365310077519
realKarliBonne,mediaite.com,68,95.0,0.1289365310077519
realKarliBonne,cbsnews.com,14,90.0,0.1289365310077519
realKarliBonne,bloomberg.com,58,100.0,0.1289365310077519
realKarliBonne,theguardian.com,107,100.0,0.1289365310077519
realKarliBonne,mol.im,62,69.5,0.1289365310077519
realKarliBonne,pbs.org,2,100.0,0.1289365310077519
realKarliBonne,freebeacon.com,11,72.5,0.1289365310077519
realKarliBonne,lifesitenews.com,15,17.5,0.1289365310077519
realKarliBonne,georgiarecord.com,14,12.5,0.1289365310077519
realKarliBonne,judicialwatch.org,8,57.0,0.1289365310077519
realKarliBonne,creativedestructionmedia.com,9,20.0,0.1289365310077519
realKarliBonne,nytimes.com,42,87.5,0.1289365310077519
realKarliBonne,mirror.co.uk,6,87.5,0.1289365310077519
realKarliBonne,joehoft.com,5,17.5,0.1289365310077519
realKarliBonne,baynews9.com,5,100.0,0.1289365310077519
realKarliBonne,twincities.com,6,92.5,0.1289365310077519
realKarliBonne,semafor.com,18,92.5,0.1289365310077519
realKarliBonne,trendingpoliticsnews.com,7,39.5,0.1289365310077519
realKarliBonne,desmoinesregister.com,11,100.0,0.1289365310077519
realKarliBonne,frankspeech.com,5,15.0,0.1289365310077519
realKarliBonne,wtop.com,4,92.5,0.1289365310077519
realKarliBonne,tuckercarlson.com,18,17.5,0.1289365310077519
realKarliBonne,hannity.com,2,39.5,0.1289365310077519
realKarliBonne,independent.co.uk,7,85.0,0.1289365310077519
