Id,Label,type,degree,closnesscentrality,betweenesscentrality,Authority,eigencentrality
1534624995,,User,2,0.325598,0,0.006565,0.012264
NevsChannel,,Channel,288,0.411994,5167746.001683,0.068618,0.145456
realKarliBonne,realKarliBonne,Channel,4230,0.474769,109265008.832201,0.439484,1
1758896015,,User,3,0.322378,0,0.004226,0.010475
Blazenherb,,Channel,116,0.392562,2050884.178604,0.049439,0.100069
Qrashthematrix,Qrashthematrix,Channel,2992,0.469894,94663882.754509,0.195237,0.652714
stormypatriotjoe21,,Channel,566,0.430787,12366576.373268,0.082362,0.200134
1570505463,,User,2,0.323025,0,0.006376,0.012103
DoctorQsBoomBox,,Channel,235,0.414611,5178531.878372,0.053965,0.126236
1682427192,,User,1,0.293095,0,0.000697,0.001212
5376317375,,User,1,0.321701,0,0.003096,0.006674
BannonWarRoom,BannonWarRoom,Channel,2493,0.474271,71954441.456735,0.239601,0.608337
1485622695,,User,3,0.329712,0,0.00454,0.010429
pjwnews,pjwnews,Channel,1137,0.454371,45324766.744212,0.090625,0.286716
awakened_144000,,Channel,51,0.366067,829847.067113,0.021163,0.051208
1598200047,,User,5,0.342548,0,0.012785,0.025373
Jack_Posobiec,Jack_Posobiec,Channel,2080,0.467218,55789046.983479,0.1997,0.512567
ElectionFraud20_org,,Channel,115,0.373798,1415491.946095,0.041877,0.083907
TruthHammer,,Channel,281,0.420374,4809941.870318,0.068794,0.149828
1577200613,,User,3,0.32537,0,0.005147,0.010487
Vigilant_News,,Channel,582,0.439362,19933191.263844,0.078718,0.2013
CharlieKirk,,Channel,401,0.430664,9212266.167957,0.079985,0.179954
5134196860,,User,2,0.323849,0,0.004197,0.008847
realKariLake,,Channel,622,0.433871,15526168.520791,0.085192,0.211352
5550992727,,User,1,0.321701,0,0.003096,0.006674
124552750,,User,1,0.361702,0,0,0.000122
csources,,Channel,7,0.557377,155,0,0.000831
171285123,,User,1,0.361702,0,0,0.000122
512882872,,User,2,0.515152,0,0,0.000286
RakshaDemography,,Channel,29,0.871795,540,0,0.003238
1457995469,,User,1,0.321931,0,0.005679,0.010891
1451628203,,User,3,0.3347,0,0.009479,0.018674
dotconnectinganons,,Channel,586,0.440944,14167859.950886,0.094415,0.217595
1639299202,,User,1,0.321931,0,0.005679,0.010891
1592057861,,User,1,0.321931,0,0.005679,0.010891
5226741086,,User,2,0.333308,0,0.008259,0.016504
1995362820,,User,4,0.342487,0,0.012061,0.024425
MichaelJLindell,,Channel,272,0.400357,6016914.31983,0.054581,0.126541
797144057,,User,1,0.31242,0,0.001171,0.003234
1536163317,,User,1,0.31242,0,0.001171,0.003234
602412778,,User,3,0.316177,0,0.001384,0.004334
WWG1WGAWORLDWIDE,,Channel,302,0.33858,13923826.573572,0.005869,0.048408
LibertyRisingGroup,,Channel,24,0.347569,776940.667114,0.010632,0.026894
1559349340,,User,2,0.291929,0,0.001118,0.001748
trumprepublicans,,Channel,140,0.402404,2760406.61006,0.0431,0.100553
Cat_The_Great,,Channel,77,0.386641,874373.874993,0.043423,0.088398
1674438543,,User,1,0.286941,0,0.000557,0.000953
1689345441,,User,1,0.291784,0,0.000887,0.001373
609517172,,User,32,0.365391,0,0.028709,0.055646
TeslaStockWatch,,Channel,110,0.366724,11874966.425214,0.02909,0.064456
loomeredofficial,,Channel,329,0.438753,8273282.61842,0.082487,0.175264
FuryRoad_Intel,,Channel,152,0.419831,4636706.188184,0.058021,0.123295
RedPillDealer4833,,Channel,618,0.42898,19001662.629898,0.083488,0.204968
epochtimes,epochtimes,Channel,2172,0.470479,67383760.852166,0.175844,0.505921
Davidscave,,Channel,107,0.395527,2842491.271198,0.04204,0.090283
WeTheMedia,,Channel,413,0.431476,9751731.147112,0.076904,0.175645
techcrimes,,Channel,117,0.367002,9252471.57538,0.029233,0.065918
yuriwarnedus,,Channel,108,0.382592,2701406.15598,0.036797,0.080267
SSG_Cue,,Channel,134,0.408213,2779612.430496,0.056515,0.115811
blacklistedresearch,,Channel,73,0.388858,1581951.734888,0.038345,0.079375
maliciousany,,Channel,38,0.365414,208677,0.028738,0.056313
pravdaGerashchenko_en,,Channel,228,0.366828,7061127.71191,0.029804,0.078465
womanhate,,Channel,153,0.397488,4479106.858031,0.042355,0.094975
ConsciousM8rix,,Channel,53,0.370201,1201673.912701,0.030582,0.06142
factsmania777,,Channel,33,0.365395,34782,0.028714,0.055757
politische_bildersprueche,,Channel,59,0.368577,3576909.483864,0.028886,0.059527
BrittRepublican,,Channel,113,0.40273,2113284.260758,0.050909,0.104992
praying_medic,,Channel,34,0.365398,69563,0.028719,0.055868
nickmon1112,,Channel,51,0.372808,589859.314982,0.032054,0.064941
candlesinthenight,,Channel,439,0.420191,10281648.834359,0.076769,0.175167
auditthevotepa,,Channel,58,0.381723,692516.883878,0.039593,0.077132
angrysaffron,,Channel,74,0.365552,1459983,0.028909,0.060341
australianchristianfascists,,Channel,71,0.373324,2015464.502369,0.030357,0.062882
NTDNews,NTDNews,Channel,973,0.446531,23980276.051373,0.10966,0.281499
1564412636,,User,1,0.31242,0,0.001171,0.003234
1576070864,,User,1,0.31242,0,0.001171,0.003234
1529782843,,User,2,0.318202,0,0.002035,0.00554
robinmg,robinmg,Channel,751,0.435986,33553349.455866,0.066886,0.206707
2105224933,,User,1,0.270052,0,0.000305,0.000579
SpecialQForces,,Channel,73,0.369957,1418496.977126,0.023592,0.055922
1542507345,,User,1,0.270052,0,0.000305,0.000579
1467019146,,User,1,0.321701,0,0.003096,0.006674
1597498401,,User,5,0.325653,0,0.006746,0.012625
theprofessorsrecord,,Channel,560,0.423687,11058141.600279,0.087164,0.20282
thepeoplesaudit,,Channel,322,0.421888,6135176.805083,0.070917,0.15902
1574200306,,User,1,0.321701,0,0.003096,0.006674
1570137151,,User,1,0.287294,0,0.000643,0.001162
ENDHUMANTRAFFICKING,,Channel,245,0.403099,5752397.179166,0.04974,0.11793
2063035509,,User,3,0.323385,0,0.004723,0.010409
5495293028,,User,1,0.321701,0,0.003096,0.006674
1515886957,,User,3,0.341787,0,0.011355,0.023179
6661753215,,User,1,0.321701,0,0.003096,0.006674
1586549664,,User,6,0.33104,0,0.00787,0.016876
Fighting4_AZ,,Channel,184,0.407577,3850966.968558,0.051265,0.116387
ArizonaAuditLiveFeeds,,Channel,71,0.389241,1173564.895946,0.034443,0.07744
nationalpulse,nationalpulse,Channel,1553,0.448287,46334654.377978,0.111435,0.360175
808348793,,User,2,0.314122,0,0.001737,0.004297
DismantlingTheCabal,,Channel,189,0.409752,5086581.010944,0.043824,0.108884
925488520,,User,1,0.31242,0,0.001171,0.003234
5371257219,,User,1,0.31242,0,0.001171,0.003234
6549208489,,User,3,0.308385,0,0.001449,0.003884
EastApp,,Channel,222,0.345865,5729751.113581,0.01451,0.05366
UnityNewsNetwork,,Channel,174,0.383423,4363592.788764,0.030754,0.081965
1609080638,,User,2,0.314736,0,0.001881,0.004385
1891658126,,User,1,0.303617,0,0.000864,0.002305
1560067473,,User,2,0.322345,0,0.003997,0.008602
1536396913,,User,3,0.305666,0,0.002014,0.003576
ArrestsIndictmentsJustice,,Channel,501,0.426288,10635019.437805,0.080032,0.18891
RSN04,,Channel,43,0.362629,650435.458582,0.021855,0.046831
1504545154,,User,1,0.303352,0,0.001062,0.002563
QNewsOfficialTV,QNewsOfficialTV,Channel,832,0.435441,22607628.15448,0.082218,0.234407
1515317152,,User,3,0.330038,0,0.008167,0.016848
followsthewhiterabbit,followsthewhiterabbit,Channel,1170,0.453394,34668504.964753,0.110328,0.310014
1563046214,,User,6,0.33126,0,0.010469,0.020143
infowarslive,,Channel,610,0.445947,19939618.892938,0.079693,0.208844
redpillpharmacist,redpillpharmacist,Channel,736,0.434212,15732400.970092,0.093708,0.231524
Owen_Shroyer,,Channel,105,0.380712,1971581.156909,0.0349,0.077562
1579698278,,User,4,0.315441,0,0.003179,0.005396
westcoast_intel,,Channel,264,0.431674,22907881.734443,0.05835,0.140454
midwest_intel,,Channel,55,0.369698,1049033.980709,0.025116,0.055292
1572305642,,User,1,0.286216,0,0.000613,0.000937
AmericasAuditForce,,Channel,121,0.40098,2114371.201444,0.047439,0.102737
1501911552,,User,4,0.304801,0,0.002853,0.004637
joeoltmann,,Channel,527,0.432754,11289612.224641,0.085393,0.199861
ThePrisonersRecord,,Channel,128,0.395662,2045590.859635,0.046123,0.099811
1543757552,,User,5,0.325348,0,0.00898,0.016436
ElectionEducation,,Channel,70,0.377727,472124.180455,0.041082,0.080644
1431849924,,User,4,0.312994,0,0.004001,0.006882
1552278886,,User,7,0.336793,0,0.01263,0.023852
ALoneRaccoon,,Channel,181,0.404242,2732127.75385,0.053668,0.116078
5563372204,,User,1,0.296712,0,0.000916,0.001514
1540199114,,User,1,0.296712,0,0.000916,0.001514
5961238445,,User,1,0.321931,0,0.005679,0.010891
1553026861,,User,3,0.337103,0,0.009013,0.019142
1535899465,,User,1,0.321931,0,0.005679,0.010891
1506971932,,User,3,0.334738,0,0.007116,0.016447
1507263526,,User,4,0.324453,0,0.005538,0.010827
TheWashingtonPundit,,Channel,194,0.409039,2871006.142691,0.061944,0.13025
1567229817,,User,1,0.308694,0,0.001417,0.002989
6228686072,,User,2,0.314992,0,0.002479,0.005552
1865974163,,User,1,0.300203,0,0.001079,0.002125
1685854555,,User,1,0.300203,0,0.001079,0.002125
1707655914,,User,1,0.300203,0,0.001079,0.002125
1489511289,,User,1,0.286183,0,0.000631,0.00111
HOTWisconsin,,Channel,215,0.400915,4729887.83778,0.048825,0.113544
1897960916,,User,2,0.307534,0,0.001495,0.003416
1144582319,,User,0,0,0,0,0
nan,,Channel,0,0,0,0,0
1018851687,,User,9,0.365667,0,0.016671,0.041026
1412710990,,User,1,0.303352,0,0.001062,0.002563
1524759974,,User,1,0.303352,0,0.001062,0.002563
5613531537,,User,5,0.331567,0,0.010101,0.019501
veryreasonable,veryreasonable,Channel,1065,0.430861,26237864.049498,0.096826,0.271831
1472396671,,User,1,0.301123,0,0.001251,0.003028
1572620217,,User,1,0.301123,0,0.001251,0.003028
1294981726,,User,3,0.328914,0,0.005233,0.012046
1443502450,,User,1,0.321701,0,0.003096,0.006674
1564576848,,User,2,0.333308,0,0.008259,0.016504
1899549465,,User,1,0.321931,0,0.005679,0.010891
1528008702,,User,3,0.326567,0,0.007561,0.014012
6313183071,,User,1,0.305251,0,0.001017,0.00208
1746029196,,User,1,0.295872,0,0.000992,0.001735
1564677698,,User,2,0.321654,0,0.003515,0.009263
1998000133,,User,1,0.295872,0,0.000992,0.001735
1532972483,,User,2,0.320333,0,0.002736,0.006562
utahfreedomcoalition,,Channel,155,0.386598,3843122.855021,0.035899,0.086671
1055255703,,User,2,0.291522,0,0.000929,0.002008
PatriotArmy,,Channel,309,0.406624,7699608.767563,0.047358,0.122861
usvoterfraud,,Channel,160,0.366596,3792861.778912,0.024535,0.065551
5861710698,,User,1,0.321931,0,0.005679,0.010891
2038219793,,User,1,0.321931,0,0.005679,0.010891
1517080885,,User,1,0.321931,0,0.005679,0.010891
6607561269,,User,1,0.571429,0,0,0.000116
NWERvU,,Channel,4,1,6,0,0.000443
5389590997,,User,1,0.571429,0,0,0.000116
6730974831,,User,1,0.571429,0,0,0.000116
1560905549,,User,1,0.319953,0,0.002272,0.005688
742743752,,User,1,0.271889,0,0.000348,0.000921
EurasianChoice,,Channel,237,0.373412,7965805.023936,0.026954,0.080891
701212763,,User,1,0.271889,0,0.000348,0.000921
1537695055,,User,1,0.271889,0,0.000348,0.000921
