Id,Label,type,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,clustering,triangles,eigencentrality
NevsChannel,,Channel,15,50,65,0.112982,0.364561,0.477543,5,0.463515,0.524908,517.932335,0.115359,0.115359,0.004823,0,1,0.544712,1133,0.615066
realKarliBonne,realKarliBonne,Channel,118,23,141,0.501421,0.108689,0.61011,6,0.528722,0.626608,6036.913342,0.171448,0.171448,0.011745,0,1,0.227052,2241,0.927081
Blazenherb,,Channel,1,48,49,0.00252,0.324592,0.327112,5,0.442157,0.498078,143.228889,0.091065,0.091065,0.003612,0,45,0.659014,775,0.484956
Qrashthematrix,Qrashthematrix,Channel,44,73,117,0.086593,0.1516,0.238193,5,0.521387,0.602254,5234.288599,0.161223,0.161223,0.009895,0,1,0.297966,2022,0.868758
stormypatriotjoe21,,Channel,60,6,66,0.34343,0.035257,0.378687,6,0.467358,0.530229,1088.863491,0.118496,0.118496,0.005163,0,1,0.531469,1140,0.633009
DoctorQsBoomBox,,Channel,3,46,49,0.02225,0.199237,0.221487,6,0.438716,0.495676,233.659817,0.090219,0.090219,0.003727,0,1,0.576531,678,0.481669
BannonWarRoom,BannonWarRoom,Channel,10,143,153,0.024981,0.591759,0.61674,5,0.557478,0.649187,8808.742231,0.18511,0.18511,0.012809,0,1,0.220072,2559,1
pjwnews,pjwnews,Channel,98,28,126,0.282474,0.06516,0.347635,6,0.530588,0.61626,10140.593247,0.133873,0.133873,0.012083,0,1,0.195683,1541,0.737145
awakened_144000,,Channel,11,7,18,0.056449,0.025866,0.082314,6,0.411872,0.449446,5.828409,0.037539,0.037539,0.001509,0,82,0.823529,126,0.201932
Jack_Posobiec,Jack_Posobiec,Channel,35,115,150,0.14721,0.453595,0.600805,5,0.55,0.643274,6176.971816,0.182883,0.182883,0.011966,0,1,0.224966,2514,0.989325
ElectionFraud20_org,,Channel,9,33,42,0.15739,0.294937,0.452327,6,0.414141,0.471064,483.415364,0.073213,0.073213,0.003398,0,2,0.544715,469,0.389577
TruthHammer,,Channel,31,31,62,0.200538,0.183804,0.384342,6,0.454179,0.517295,586.024689,0.111678,0.111678,0.004712,0,1,0.542041,1025,0.595436
Vigilant_News,,Channel,46,35,81,0.160142,0.147111,0.307253,6,0.482353,0.551589,2939.00612,0.122774,0.122774,0.006974,0,1,0.375309,1216,0.659717
CharlieKirk,,Channel,8,70,78,0.038497,0.32702,0.365517,5,0.482353,0.55,1197.5748,0.132497,0.132497,0.0059,0,1,0.47619,1430,0.709492
realKariLake,,Channel,71,17,88,0.349843,0.080332,0.430176,6,0.482353,0.557317,1988.019622,0.132528,0.132528,0.006949,0,1,0.371473,1422,0.710235
csources,,Channel,1,0,1,0.030303,0,0.030303,1,1,1,0,0,0,0.001726,1,0,0,0,0.000199
RakshaDemography,,Channel,0,1,1,0,0.030303,0.030303,1,1,1,0,0,0,0.001726,1,0,0,0,0.000199
dotconnectinganons,,Channel,56,34,90,0.315447,0.190453,0.5059,5,0.5,0.568625,1566.931573,0.144943,0.144943,0.006744,0,1,0.41623,1667,0.776791
MichaelJLindell,,Channel,21,35,56,0.106175,0.166804,0.272979,6,0.430755,0.496009,484.179873,0.092179,0.092179,0.004265,0,2,0.474675,731,0.49136
WWG1WGAWORLDWIDE,,Channel,4,9,13,0.019291,0.027858,0.047149,6,0.394576,0.428086,3229.622016,0.008804,0.008804,0.003022,0,169,0.153846,12,0.050464
LibertyRisingGroup,,Channel,3,9,12,0.03228,0.085902,0.118183,6,0.402319,0.434664,189.751098,0.019886,0.019886,0.001393,0,139,0.469697,31,0.108638
trumprepublicans,,Channel,31,1,32,0.119658,0.000945,0.120603,6,0.43617,0.481707,57.157944,0.069102,0.069102,0.002485,0,1,0.75,372,0.369839
Cat_The_Great,,Channel,2,33,35,0.007177,0.224296,0.231472,6,0.415285,0.467184,201.01347,0.073827,0.073827,0.002784,0,54,0.751261,447,0.391694
TeslaStockWatch,,Channel,16,23,39,0.143309,0.221386,0.364695,5,0.428707,0.478234,6590.428571,0.058395,0.058395,0.004856,0,45,0.630229,467,0.313678
loomeredofficial,,Channel,65,28,93,0.36722,0.137457,0.504677,5,0.502227,0.572579,1891.094903,0.14814,0.14814,0.00706,0,1,0.408135,1746,0.793328
FuryRoad_Intel,,Channel,14,56,70,0.101541,0.435532,0.537073,5,0.480298,0.542166,1388.376651,0.109719,0.109719,0.005486,0,45,0.424431,1025,0.591918
RedPillDealer4833,,Channel,36,53,89,0.138207,0.204601,0.342808,5,0.493435,0.56408,2454.286082,0.134052,0.134052,0.006931,0,1,0.375383,1470,0.719512
epochtimes,epochtimes,Channel,91,58,149,0.291344,0.180394,0.471738,5,0.54933,0.642166,8106.016383,0.178937,0.178937,0.012765,0,1,0.219028,2415,0.967751
Davidscave,,Channel,7,42,49,0.052519,0.340959,0.393478,5,0.46447,0.515188,586.365877,0.077902,0.077902,0.003916,0,45,0.553571,651,0.423073
WeTheMedia,,Channel,34,38,72,0.151672,0.176346,0.328019,5,0.479787,0.541722,791.682922,0.126338,0.126338,0.005405,0,1,0.512128,1309,0.675246
techcrimes,,Channel,35,2,37,0.263205,0.013466,0.276671,5,0.426276,0.475351,3524.416344,0.058581,0.058581,0.004011,0,45,0.704204,469,0.314291
yuriwarnedus,,Channel,52,0,52,0.497945,0,0.497945,5,0.460204,0.51408,1006.534493,0.075433,0.075433,0.00423,0,45,0.472851,627,0.410222
SSG_Cue,,Channel,22,36,58,0.182093,0.258209,0.440302,5,0.457868,0.517295,409.457019,0.10265,0.10265,0.004338,0,45,0.569268,941,0.549134
blacklistedresearch,,Channel,21,22,43,0.263989,0.321945,0.585934,5,0.44831,0.496452,772.569493,0.069297,0.069297,0.003526,0,45,0.607973,549,0.373055
maliciousany,,Channel,24,7,31,0.431931,0.241909,0.67384,5,0.42268,0.467591,0,0.058237,0.058237,0.002408,0,45,1,465,0.311292
pravdaGerashchenko_en,,Channel,29,4,33,0.090394,0.016257,0.106651,5,0.424271,0.470547,92.937183,0.058526,0.058526,0.002643,0,45,0.886364,468,0.313344
womanhate,,Channel,53,1,54,0.344657,0.006803,0.35146,5,0.467358,0.51918,2481.800402,0.077983,0.077983,0.005049,0,45,0.456324,653,0.424039
ConsciousM8rix,,Channel,5,36,41,0.036758,1.103264,1.140022,5,0.432821,0.483851,415.641498,0.062214,0.062214,0.00337,0,45,0.641463,526,0.335004
factsmania777,,Channel,22,9,31,0.369693,0.540736,0.91043,5,0.42268,0.467591,0,0.058237,0.058237,0.002408,0,45,1,465,0.311292
politische_bildersprueche,,Channel,28,5,33,0.308586,0.07123,0.379816,5,0.426679,0.472395,333.468866,0.058428,0.058428,0.002698,0,45,0.888258,469,0.312937
BrittRepublican,,Channel,3,45,48,0.013325,0.319924,0.33325,5,0.4501,0.503548,194.060177,0.092093,0.092093,0.003583,0,45,0.68883,777,0.492371
praying_medic,,Channel,28,3,31,0.83082,0.041315,0.872134,5,0.42268,0.467591,0,0.058237,0.058237,0.002408,0,45,1,465,0.311292
nickmon1112,,Channel,32,7,39,0.591306,0.211238,0.802544,5,0.433237,0.482927,133.501887,0.065301,0.065301,0.003036,0,45,0.730094,541,0.351024
candlesinthenight,,Channel,48,31,79,0.208431,0.133059,0.341491,5,0.472746,0.542646,1287.974034,0.127673,0.127673,0.005996,0,1,0.435897,1343,0.68235
auditthevotepa,,Channel,20,20,40,0.195664,0.388653,0.584317,5,0.434489,0.484775,511.331125,0.072966,0.072966,0.003215,0,45,0.734615,573,0.389797
angrysaffron,,Channel,15,16,31,0.090352,0.184639,0.274991,5,0.42268,0.467591,0,0.058237,0.058237,0.002408,0,45,1,465,0.311292
australianchristianfascists,,Channel,22,22,44,0.347249,0.483633,0.830882,5,0.444335,0.493496,825.76363,0.062046,0.062046,0.003693,0,45,0.549683,520,0.335657
NTDNews,NTDNews,Channel,33,72,105,0.107326,0.396674,0.504,5,0.506742,0.58459,1823.378886,0.155893,0.155893,0.007875,0,1,0.350733,1915,0.83638
robinmg,,Channel,68,10,78,0.214374,0.029049,0.243423,6,0.483906,0.55085,3175.361605,0.106098,0.106098,0.006692,0,63,0.313353,941,0.576548
SpecialQForces,,Channel,8,8,16,0.02949,0.048381,0.077871,6,0.404122,0.43969,39.270096,0.032171,0.032171,0.001428,0,1,0.675,81,0.17263
theprofessorsrecord,,Channel,75,4,79,0.578715,0.012598,0.591313,6,0.45694,0.534072,587.663581,0.130452,0.130452,0.005812,0,2,0.456994,1408,0.695433
thepeoplesaudit,,Channel,66,5,71,0.498973,0.047805,0.546778,6,0.462564,0.532151,708.172403,0.117011,0.117011,0.005342,0,2,0.454728,1130,0.625381
ENDHUMANTRAFFICKING,,Channel,6,41,47,0.031742,0.159294,0.191036,6,0.437439,0.493089,223.437639,0.081928,0.081928,0.003582,0,1,0.512488,554,0.438975
Fighting4_AZ,,Channel,10,34,44,0.074439,0.152161,0.2266,6,0.44043,0.493089,189.955434,0.085148,0.085148,0.003369,0,2,0.628964,595,0.454672
ArizonaAuditLiveFeeds,,Channel,1,25,26,0.022222,0.132543,0.154765,6,0.414141,0.458315,530.749251,0.053717,0.053717,0.002316,0,2,0.676923,220,0.28771
nationalpulse,nationalpulse,Channel,81,23,104,0.210755,0.088674,0.299429,6,0.500555,0.581338,3164.247593,0.139863,0.139863,0.008489,0,1,0.290889,1558,0.754334
DismantlingTheCabal,,Channel,6,44,50,0.028225,0.208121,0.236346,6,0.4588,0.513304,695.816056,0.073553,0.073553,0.004173,0,96,0.386122,473,0.402187
EastApp,,Channel,3,27,30,0.008137,0.215754,0.223891,6,0.410747,0.457021,1060.303678,0.027108,0.027108,0.003223,0,63,0.264368,115,0.152811
UnityNewsNetwork,,Channel,12,25,37,0.090149,0.156179,0.246328,6,0.443026,0.490761,340.045668,0.049188,0.049188,0.003284,0,63,0.421922,281,0.273015
ArrestsIndictmentsJustice,,Channel,2,74,76,0.013963,0.382036,0.395999,6,0.465428,0.536696,1255.693323,0.12178,0.12178,0.005943,0,1,0.424561,1210,0.652341
RSN04,,Channel,8,13,21,0.066264,0.109846,0.176109,6,0.423872,0.460495,135.642029,0.034932,0.034932,0.001862,0,89,0.552381,116,0.190618
QNewsOfficialTV,,Channel,25,46,71,0.079539,0.146437,0.225976,6,0.469792,0.535698,1352.438128,0.118508,0.118508,0.005704,0,1,0.461569,1147,0.635861
followsthewhiterabbit,followsthewhiterabbit,Channel,75,36,111,0.248987,0.119381,0.368369,6,0.509029,0.592239,3470.977365,0.146048,0.146048,0.009072,0,1,0.28321,1729,0.792023
infowarslive,,Channel,58,29,87,0.177314,0.104953,0.282267,6,0.49506,0.565078,2399.527021,0.12914,0.12914,0.007171,0,1,0.358193,1340,0.6981
redpillpharmacist,,Channel,64,9,73,0.377503,0.074148,0.451651,6,0.473739,0.539763,500.324013,0.126803,0.126803,0.005414,0,1,0.493531,1297,0.679109
Owen_Shroyer,,Channel,11,16,27,0.057803,0.084795,0.142598,6,0.4283,0.471619,47.691156,0.056666,0.056666,0.002176,0,1,0.706553,248,0.304247
westcoast_intel,,Channel,59,3,62,0.238728,0.01121,0.249938,6,0.477754,0.534035,5024.819568,0.10017,0.10017,0.005577,0,1,0.42623,806,0.540407
midwest_intel,,Channel,14,4,18,0.100493,0.011705,0.112199,6,0.407776,0.444494,116.522939,0.037946,0.037946,0.001587,0,96,0.666667,102,0.203803
AmericasAuditForce,,Channel,1,46,47,0.016304,0.377677,0.393982,6,0.43829,0.495085,518.23293,0.081665,0.081665,0.003665,0,2,0.53099,574,0.437185
joeoltmann,,Channel,65,23,88,0.362471,0.199162,0.561633,6,0.472251,0.550554,1419.280693,0.134267,0.134267,0.00688,0,2,0.382445,1464,0.718655
ThePrisonersRecord,,Channel,22,20,42,0.197767,0.158283,0.35605,6,0.421495,0.477901,358.17243,0.077089,0.077089,0.003376,0,2,0.567944,489,0.410997
ElectionEducation,,Channel,7,33,40,0.097637,0.446745,0.544382,6,0.416821,0.471803,187.054965,0.071058,0.071058,0.003088,0,2,0.567949,443,0.378024
ALoneRaccoon,,Channel,0,46,46,0,0.369671,0.369671,6,0.435749,0.492683,53.070281,0.091037,0.091037,0.003372,0,2,0.680193,704,0.484832
TheWashingtonPundit,,Channel,32,27,59,0.218067,0.219382,0.437449,6,0.44043,0.504915,355.696525,0.104445,0.104445,0.004395,0,1,0.537697,920,0.555521
HOTWisconsin,,Channel,15,30,45,0.153052,0.128447,0.281499,6,0.436592,0.491944,191.656832,0.082386,0.082386,0.003425,0,2,0.568687,563,0.440508
0,,Channel,0,0,0,0,0,0,0,0,0,0,0,0,0.000259,2,3,0,0,0
veryreasonable,,Channel,74,1,75,0.379012,0.002622,0.381635,6,0.46209,0.533001,2024.203982,0.121064,0.121064,0.006325,0,1,0.427748,1187,0.646565
utahfreedomcoalition,,Channel,30,0,30,0.108597,0,0.108597,6,0.421102,0.467923,51.841059,0.056767,0.056767,0.00233,0,2,0.611494,266,0.304131
PatriotArmy,,Channel,15,28,43,0.055415,0.107538,0.162953,6,0.442157,0.493274,339.907565,0.076367,0.076367,0.003366,0,1,0.542636,490,0.410044
usvoterfraud,,Channel,21,0,21,0.114142,0,0.114142,6,0.412626,0.452402,130.584234,0.03671,0.03671,0.001835,0,1,0.542857,114,0.19761
NWERvU,,Channel,0,0,0,0,0,0,0,0,0,0,0,0,0.000259,3,4,0,0,0
EurasianChoice,,Channel,7,36,43,0.03209,0.151539,0.183629,6,0.444773,0.496674,2293.224477,0.050215,0.050215,0.004545,0,139,0.272425,246,0.278354
WokeSocieties,,Channel,21,19,40,0.12511,0.089494,0.214604,6,0.437439,0.487361,174.053884,0.076918,0.076918,0.00312,0,1,0.620513,484,0.410736
