Domain,Score,Orientation,Occorrenze,Views,Forwards
russian.rt.com,20.0,,363261,10663239,13793
thegatewaypundit.com,30.0,Right,160393,541707979,4800388
theepochtimes.com,17.5,Right,136871,77030481,308442
pravda.com.ua,72.5,,131555,10255554,31210
dailymail.co.uk,69.5,Right,86138,323859020,3472318
washingtonexaminer.com,92.5,Right,80001,35409414,421440
zerohedge.com,15.0,,70820,21313489,223052
ntd.com,62.0,Right,62210,19189378,31955
bestnewshere.com,0.0,Right,56757,2422129,21023
nypost.com,69.5,,55743,131254884,1248403
msn.com,87.5,,44913,45229673,393810
meduza.io,95.0,,44783,880661102,1088856
realclearpolitics.com,62.0,,38159,878232,4703
thepostmillennial.com,82.0,Right,29831,200977530,1060501
oann.com,25.0,Right,27691,95463620,423232
lastampa.it,95.0,,26983,1029013,3622
theguardian.com,100.0,Left,26158,60394721,536283
report24.news,12.5,Right,25735,87287852,1362217
lifesitenews.com,17.5,Right,24483,16941869,114848
cheline.com.ua,75.0,,24436,37941953,36068
foxnews.com,69.5,Right,21707,44052571,516055
aljazeera.com,82.5,,21336,11994115,93129
thefederalist.com,12.5,Right,20277,26005726,133421
hindustantimes.com,69.5,,19102,87007373,166846
coindesk.com,100.0,,16215,2691470,20592
apnews.com,100.0,,15744,26888485,193022
disclose.tv,77.5,,15681,364622214,4765509
amg-news.com,0.0,Right,15563,39058543,700182
bbc.com,95.0,,15297,42245425,257958
nbcnews.com,100.0,,13923,27984621,236020
reuters.com,100.0,,13488,29312634,264004
cbsnews.com,90.0,,13261,20857978,192647
vigilantnews.com,7.5,Right,13082,129498617,2302993
novayagazeta.eu,75.0,,12694,1936704,2739
thenationalpulse.com,12.5,Right,12379,33490781,214046
redstate.com,17.5,Right,12088,8396048,58941
bloomberg.com,100.0,,11077,45908666,232217
rt.com,20.0,,10982,13036379,138426
nytimes.com,87.5,,10979,23076303,233777
telegraph.co.uk,75.0,,10960,33687867,365547
yahoo.com,100.0,,10639,16373793,161371
infowars.com,7.5,Right,10505,18186328,85614
news.sky.com,100.0,,10316,15949424,81103
cnn.com,80.0,,10260,30852330,351678
breitbart.com,49.5,Right,9978,31525027,232375
bbc.co.uk,95.0,,9974,6713985,77219
politico.com,100.0,,9407,35049942,219728
abcnews.go.com,87.5,,9171,18969823,150368
middleeasteye.net,75.0,,8156,3646642,21781
news.com.au,100.0,,8079,17214832,236301
independent.co.uk,85.0,,7882,12732056,117642
australiannationalreview.com,7.5,Right,7838,2146936,16467
abc.net.au,100.0,,7664,15441953,227613
sacbee.com,100.0,,7287,2665678,5021
express.co.uk,82.0,Right,7232,10539076,111346
nius.de,57.0,Right,6568,45255506,555590
theconversation.com,100.0,,6521,388933,4723
theverge.com,100.0,,6449,6650000,83107
