Domain,Score,Orientation,Occorrenze,Views,Forwards
russian.rt.com,20.0,,80354,3328940,6291
thegatewaypundit.com,30.0,Right,48703,186992714,1594365
dailymail.co.uk,69.5,Right,37859,145324985,1571170
theepochtimes.com,17.5,Right,35106,31607479,130728
pravda.com.ua,72.5,,31910,2242733,7226
bestnewshere.com,0.0,Right,28931,1161698,9668
washingtonexaminer.com,92.5,Right,20753,9151603,105784
ntd.com,62.0,Right,19279,7066820,10757
zerohedge.com,15.0,,19275,8103370,90212
nypost.com,69.5,,14834,33834662,328426
msn.com,87.5,,13526,14173113,123867
realclearpolitics.com,62.0,,13223,361825,1595
foxnews.com,69.5,Right,10243,20933939,198515
theguardian.com,100.0,Left,10102,23574362,204504
meduza.io,95.0,,9342,191773071,237629
thepostmillennial.com,82.0,Right,9091,59480299,302649
oann.com,25.0,Right,8702,37357189,161268
apnews.com,100.0,,8121,14893700,103333
aljazeera.com,82.5,,7554,4576405,37503
lifesitenews.com,17.5,Right,6308,4477936,30476
hindustantimes.com,69.5,,6136,27837017,53005
report24.news,12.5,Right,6064,20909578,335926
thenationalpulse.com,12.5,Right,5867,11999901,75942
lastampa.it,95.0,,5561,228453,816
thefederalist.com,12.5,Right,5443,7180437,37575
nbcnews.com,100.0,,5321,11352594,91231
reuters.com,100.0,,5163,10894865,104420
cheline.com.ua,75.0,,5136,7980209,7658
disclose.tv,77.5,,5111,122026323,1582837
amg-news.com,0.0,Right,4728,12247505,219078
breitbart.com,49.5,Right,4693,13418447,86088
nytimes.com,87.5,,4675,10418542,101460
bbc.com,95.0,,4486,10937915,65689
cnn.com,80.0,,4323,12875239,130145
redstate.com,17.5,Right,4268,2649303,16770
infowars.com,7.5,Right,4131,7362935,29638
cbsnews.com,90.0,,3869,5904843,51322
telegraph.co.uk,75.0,,3466,10151572,105217
rt.com,20.0,,3438,4181596,58571
vigilantnews.com,7.5,Right,3189,31815522,661635
bloomberg.com,100.0,,3178,13111010,62144
australiannationalreview.com,7.5,Right,3093,795233,6824
coindesk.com,100.0,,3041,706848,6259
novayagazeta.eu,75.0,,2959,446158,612
middleeasteye.net,75.0,,2863,1202955,6986
bbc.co.uk,95.0,,2828,1875367,20898
justthenews.com,69.5,Right,2764,10155341,80754
politico.com,100.0,,2760,9846435,65285
yahoo.com,100.0,,2735,4007718,39784
independent.co.uk,85.0,,2669,4214805,38069
abcnews.go.com,87.5,,2615,4181345,33663
theconversation.com,100.0,,2605,146382,1544
washingtonpost.com,100.0,,2488,5389495,32590
news.sky.com,100.0,,2366,4622263,21444
express.co.uk,82.0,Right,2309,3770487,39743
abc.net.au,100.0,,2277,4618045,67890
uncutnews.ch,7.5,Right,2194,13413482,169596
sacbee.com,100.0,,2109,762462,1420
thehill.com,100.0,,2067,5919971,51540
naturalnews.com,5.0,Right,2047,5296189,32126
theverge.com,100.0,,2038,2715086,36719
newsweek.com,100.0,,1992,5528052,76474
bild.de,87.5,,1989,12905787,195644
wsj.com,100.0,,1967,6125114,53921
news.com.au,100.0,,1921,4136515,59244
politico.eu,100.0,,1836,10357741,64412
nius.de,57.0,Right,1784,11995775,149345
gbnews.com,64.5,,1627,1655428,15207
haaretz.com,92.5,Left,1604,3275859,24798
rsbnetwork.com,10.0,Right,1599,10216467,42967
southfront.press,20.0,,1573,4480303,7825
usatoday.com,100.0,,1487,2175400,16097
jpost.com,92.5,,1481,3628668,29864
axios.com,100.0,,1459,4187771,32495
childrenshealthdefense.org,17.5,,1458,3689780,66209
nationalreview.com,92.5,Right,1437,376396,4746
mirror.co.uk,87.5,Left,1425,2320245,26890
expose-news.com,7.5,,1413,3364947,58642
newarab.com,87.5,,1409,209296,1801
modernity.news,7.5,Right,1312,6347459,46375
edition.cnn.com,80.0,,1297,6712201,32171
